x1	x2	x3	x4	x5	x6	choice
   1.76405	  -0.20212	   0.33005	   0.37123	  -1.93950	   0.06604	   1.00000
   0.40016	  -0.83323	  -0.00048	   0.30478	   0.73885	   1.69998	   0.00000
   0.97874	   1.73360	   0.81812	   0.50412	   1.39468	  -1.61922	   1.00000
   2.24089	   0.19065	   0.42821	   0.13530	  -0.81359	  -0.59638	   1.00000
   1.86756	  -0.17781	  -2.50395	   0.65376	  -0.81882	  -2.11749	   1.00000
  -0.97728	  -1.08503	   0.12048	  -0.10018	  -0.10280	  -0.86307	   0.00000
   0.95009	   0.97226	   0.80789	  -0.86329	   1.23935	   0.39647	   1.00000
  -0.15136	   1.43147	   0.60212	  -0.77387	   0.36428	  -0.62677	   1.00000
  -0.10322	  -0.24507	  -0.86519	  -0.89033	  -1.16664	  -2.00681	   1.00000
   0.41060	  -0.62325	  -0.15332	   0.03040	  -0.50383	  -1.73338	   0.00000
   0.14404	  -0.39600	  -0.24049	  -1.57963	   0.11141	   0.34896	   1.00000
   1.45427	  -1.35852	  -0.06076	  -1.88076	  -1.53470	  -0.38299	   0.00000
   0.76104	   1.32260	   0.53287	   0.47159	  -0.58413	   2.03273	   1.00000
   0.12168	   0.00344	   0.76440	   0.70076	  -0.80176	   1.98759	   0.00000
   0.44386	  -0.00020	  -0.85608	  -0.42008	  -0.19222	   0.26773	   1.00000
   0.33367	   1.53370	  -1.68234	  -0.62205	  -0.34504	  -1.44744	   1.00000
   1.49408	  -0.77308	   0.65307	  -0.05380	   0.38652	   0.34944	   1.00000
  -0.20516	  -0.40125	   0.93026	   0.68150	  -1.22643	  -0.86421	   0.00000
   0.31307	  -0.11536	   0.40518	  -1.29966	   0.58804	  -0.50144	   0.00000
  -0.85410	   1.01156	   0.20400	   0.76419	   0.23584	   2.07407	   1.00000
  -2.55299	   1.51324	  -0.82277	   0.11309	   0.92293	  -0.38830	   0.00000
   0.65362	   0.91707	  -1.27687	   0.34764	  -2.50784	  -0.43174	   1.00000
   0.86444	   0.72889	  -0.22644	   0.89415	   0.41162	  -0.40590	   1.00000
  -0.74217	   0.55203	  -1.01605	   0.07579	   0.61697	   1.00809	   1.00000
   2.26975	  -2.80323	  -0.65729	   1.66564	   0.39325	  -0.69502	   0.00000
  -1.45437	  -0.39605	   0.29399	   0.46514	   0.73498	   0.51842	   0.00000
   0.04576	  -0.71314	   0.62005	   0.71076	  -0.10335	  -0.91376	   0.00000
  -0.18718	   1.30083	   0.77963	  -2.13520	   0.54726	  -1.44099	   1.00000
   1.53278	  -0.55287	   0.45498	   0.92718	  -0.85088	  -0.78549	   1.00000
   1.46936	   2.07090	  -1.30344	   1.39953	   0.42396	   1.88511	   1.00000
   0.15495	  -0.36591	  -0.56445	  -1.47337	   1.77557	  -1.78930	   0.00000
   0.37816	  -0.89763	  -0.69713	   0.33337	   0.04986	  -0.81585	   0.00000
  -0.88779	   1.44494	   1.03784	   1.29203	   0.00398	  -0.37613	   1.00000
  -1.98080	   0.17294	   1.56015	  -0.09356	  -1.10129	  -0.20951	   0.00000
  -0.34791	   0.28269	  -1.46021	  -1.47760	  -0.07030	  -0.78545	   1.00000
   0.15635	   1.09087	  -1.93968	  -2.21859	   0.05003	  -1.02577	   1.00000
   1.23029	  -0.20135	   0.52659	  -1.01558	   0.99111	   0.36750	   0.00000
   1.20238	  -0.68069	   1.66034	  -0.01703	  -2.13172	  -0.75355	   0.00000
  -0.38733	   0.80328	  -0.36381	   0.44304	   0.01894	   1.12160	   1.00000
  -0.30230	  -0.34216	  -0.03105	  -0.06698	  -1.28672	   1.02776	   0.00000
  -1.04855	  -0.47249	  -0.36362	   2.09554	   0.56495	   0.11401	   0.00000
  -1.42002	  -0.69226	   1.24180	  -1.28912	   0.57701	   0.30619	   0.00000
  -1.70627	  -0.04667	  -1.66867	  -0.33133	   0.65806	  -0.87874	   0.00000
   1.95078	  -0.61958	   0.61321	   0.15081	   1.47233	   1.16590	   1.00000
  -0.50965	   0.86953	   0.04347	  -1.02147	   0.01255	   0.12833	   1.00000
  -0.43807	  -0.14688	   0.11655	   0.60506	   0.78929	  -0.23671	   0.00000
  -1.25280	   0.32809	  -0.57860	  -0.32268	   0.52607	   0.60655	   0.00000
   0.77749	  -1.36304	  -1.26468	  -0.63938	   0.72847	  -0.27424	   0.00000
  -1.61390	   0.80783	  -0.11749	  -0.73548	   0.91989	   1.14535	   0.00000
  -0.21274	   0.66066	  -0.48519	   0.59487	   0.43699	  -0.08452	   1.00000
  -0.89547	   0.77885	   1.02307	   0.05148	   0.12693	  -0.09979	   1.00000
   0.38690	   1.50732	   0.14836	  -0.34875	  -2.43699	  -0.42926	   1.00000
  -0.51081	   0.37958	  -0.02942	   0.29986	   0.21381	  -0.93669	   1.00000
  -1.18063	   0.65193	   0.87583	  -2.39173	   0.65583	   0.79692	   0.00000
  -0.02818	   0.35200	   0.13481	   1.93898	   0.12404	  -0.04190	   1.00000
   0.42833	  -0.48374	   0.08406	   1.36627	  -0.65122	  -1.90222	   0.00000
